date,trial_#,day_or_night,hatch_group,trial_options,x_axis,y_axis,include,total_distance_recorded,notes2
3/28/2018,339,fed,0.261,.,.,.,1,274,274 cm
3/28/2018,340,fed,0.316,.,.,.,1,107,107 cm
3/28/2018,341,fed,0.223,.,.,.,1,138,138 cm
3/29/2018,342,starved_48,0.293,.,.,.,1,47,47 cm
3/29/2018,343,starved_48,0.22,.,.,.,1,133,133 cm
3/29/2018,344,starved_48,0.208,.,.,.,1,154,154 cm
3/29/2018,345,starved_48,0.198,.,.,.,1,181,181 cm
3/29/2018,346,starved_48,0.218,.,.,.,0,3,3 cm
4/4/2018,347,starved_48,0.225,.,.,.,1,426,426 cm
4/4/2018,348,starved_48,0.194,.,.,.,0,17,"17 cm, but not during stim 2"
4/4/2018,349,starved_48,0.161,.,.,.,1,456,456 cm
4/4/2018,350,starved_48,0.224,.,.,.,0,16,"16 cm, not during stim 2"
4/4/2018,351,starved_48,0.354,.,.,.,1,149,149 cm
4/4/2018,352,starved_48,0.187,.,.,.,1,124,124 cm
4/4/2018,353,starved_48,0.293,.,.,.,1,111,111 cm
4/5/2018,354,starved_48,0.174,.,.,.,1,526,526 cm
4/5/2018,355,starved_48,0.232,.,.,.,1,295,295 cm
4/5/2018,356,starved_48,0.189,.,.,.,1,181,181 cm
4/5/2018,357,starved_48,0.241,.,.,.,1,386,386 cm
4/5/2018,358,starved_48,0.302,.,.,.,1,313,313 cm
4/5/2018,359,starved_48,0.23,.,.,.,1,308,308 cm
4/5/2018,360,starved_48,0.164,.,.,.,1,404,404 cm
4/5/2018,361,starved_48,0.383,.,.,.,1,276,276 cm
4/5/2018,362,starved_48,0.241,.,.,.,1,82,82 cm
4/5/2018,363,starved_24,0.231,.,.,.,0,34,"34 cm, but not during stim 2"
4/5/2018,364,starved_24,0.213,.,.,.,1,407,407 cm
4/5/2018,365,starved_24,0.249,.,.,.,1,68,68 cm
4/5/2018,366,starved_24,0.27,.,.,.,1,122,122 cm
4/5/2018,367,starved_24,0.253,.,.,.,1,77,77 cm
4/5/2018,368,starved_24,0.228,.,.,.,1,134,134 cm
4/5/2018,369,starved_24,0.23,.,.,.,1,94,94 cm
4/5/2018,370,starved_24,0.376,.,.,.,1,105,105 cm
4/5/2018,371,starved_24,0.23,.,.,.,1,192,192 cm
4/5/2018,372,starved_24,0.163,.,.,.,1,210,210 cm
4/6/2018,373,starved_24,0.321,.,.,.,1,51,51 cm
4/6/2018,374,starved_24,0.277,.,.,.,1,54,54 cm
4/6/2018,375,starved_24,0.4,.,.,.,1,137,137 cm
4/6/2018,376,starved_24,0.215,.,.,.,0,5,5 cm
4/6/2018,377,starved_24,0.233,.,.,.,1,24,24 cm
4/6/2018,378,starved_24,0.308,.,.,.,1,38,m 38 cm
4/6/2018,379,starved_24,0.348,.,.,.,1,102,"froze ~ 12 min, 102 cm"
4/6/2018,380,starved_24,0.281,.,.,.,1,16,16 cm
4/6/2018,381,starved_24,0.325,.,.,.,1,107,107 cm
4/6/2018,382,starved_24,0.28,.,.,.,0,7,7 cm
4/6/2018,383,starved_24,0.293,.,.,.,0,3,3 cm
4/6/2018,384,starved_24,0.343,.,.,.,1,219,219 cm
4/10/2018,385,fed,0.325,.,.,.,0,0,too short
